x, y, th, stamp, 
0.3178317528119873, 0.010322308625735731, 1.2411706447601318, 1759520951154427246, 
0.3128634358582309, 0.008215970221101439, 1.2827948331832886, 1759520951200746741, 
0.30518992813437656, 0.006672254818455697, 1.2630294561386108, 1759520951252259740, 
0.31021125220205387, 0.006660249299392347, 1.278983235359192, 1759520951292079229, 
0.3070900976164612, 0.01232955397751979, 1.2572606801986694, 1759520951361722083, 
0.30705757574678616, 0.0033443914710793933, 1.2316498756408691, 1759520951391810494, 
0.30084514932690865, 0.010091474554343585, 1.2435719966888428, 1759520951452138689, 
0.29734278889776167, 0.005876203076684985, 1.2458945512771606, 1759520951502476249, 
0.3217496780795414, 0.01048531885418305, 1.2653071880340576, 1759520951552018694, 
0.2960838683568479, 0.008633115310501737, 1.2086321115493774, 1759520951602528865, 
0.3123983731998545, 0.006383338982572878, 1.2635263204574585, 1759520951652515566, 
0.30969540439831506, 0.002936190666585287, 1.307037115097046, 1759520951692091628, 
0.3094473529782264, 0.012304753525669001, 1.2617604732513428, 1759520951762264954, 
0.31686998952350764, 0.002857895459382284, 1.2631338834762573, 1759520951792281205, 
0.30716492336115775, 0.010011469116530418, 1.2199946641921997, 1759520951852709682, 
0.29929006457238394, 0.003943085041976804, 1.2671080827713013, 1759520951903014365, 
0.3146762784678634, 0.009567468885538567, 1.2362278699874878, 1759520951952374841, 
0.3095417692196356, 0.00953171416368926, 1.2564005851745605, 1759520952002012149, 
0.30617933242462514, 0.006242850193063541, 1.2358777523040771, 1759520952052981764, 
0.31033255017557343, 0.013017114943456424, 1.2155131101608276, 1759520952092069189, 
0.3104675076036233, 0.009882494594669233, 1.2406550645828247, 1759520952141973829, 
0.3116122978988389, 0.01104989382550892, 1.2867395877838135, 1759520952211910758, 
0.3006595371347016, 0.0028726461800621453, 1.2758188247680664, 1759520952253041187, 
0.31827721475894927, 0.010221234993132313, 1.2656805515289307, 1759520952302009578, 
0.30369585027858415, 0.007875469093148147, 1.2463568449020386, 1759520952351980602, 
0.306753566832728, 0.008590289141625405, 1.2438442707061768, 1759520952402017828, 
0.3066729753035527, 0.009287073735088844, 1.2512270212173462, 1759520952451985941, 
0.3020864598171097, 0.003111397069423222, 1.2458360195159912, 1759520952493073397, 
0.3145001616762481, 0.014139016723604025, 1.2256243228912354, 1759520952542153953, 
0.2997139062121336, 0.006893346364123524, 1.257607102394104, 1759520952592345840, 
0.304278729438486, 0.008059512909795043, 1.2397280931472778, 1759520952653603529, 
0.32076233210788047, 0.011518093026269284, 1.2887206077575684, 1759520952702020996, 
0.29652131288757616, 0.0030076501699672934, 1.2884994745254517, 1759520952751985854, 
0.30262725711259586, 0.007646090825619829, 1.2706407308578491, 1759520952801993421, 
