x, y, theta, stamp,
-0.695679486,-1.018701434,-2.973271137, 1761337970.0891957,
-0.725717306,-1.0229913,-2.990426801, 1761337970.187946,
-0.75511688,-1.026900768,-3.008195376, 1761337970.2857065,
-0.782813013,-1.030265689,-3.024033053, 1761337970.378095,
-0.814919293,-1.033170462,-3.044179918, 1761337970.4886413,
-0.841680646,-1.035284281,-3.06198621, 1761337970.5876753,
-0.864471674,-1.036526799,-3.079031237, 1761337970.685708,
-0.888171732,-1.037436843,-3.100242849, 1761337970.7957513,
-0.906058133,-1.037739992,-3.11830139, 1761337970.8892875,
-0.923373997,-1.03758359, 3.138686418562196, 1761337970.9876764,
-0.938370943,-1.037083268, 3.1096599153801887, 1761337971.0859294,
-0.953260064,-1.036174178, 3.0719518589576063, 1761337971.1965444,
-0.962869167,-1.035371184, 3.037879207512645, 1761337971.2765732,
-0.974443614,-1.03412199, 2.987461093807962, 1761337971.3902528,
-0.982912958,-1.031981826, 2.9345512437990307, 1761337971.4856963,
-0.988990902900695,-1.030358911,2.87338257266484, 1761337971.5785387,
-0.991345467541231,-1.027197342,2.851243425346190,1761337971.58372,
-0.993123345461479,-1.023333209,2.841243456436120,1761337971.69492,
-0.994234235349325,-1.020646486,2.831243345325430,1761337971.78826,
