error, error_dot, error_int, stamp, 
-0.392547243,0.182474421,-0.128832409, 1761337967.9964206, 
-0.377283141,0.182640007,-0.112325968, 1761337968.075843, 
-0.35627706, 0.19001210623177536,-0.107686709, 1761337968.1876755, 
-0.338130361, 0.18647853264284453,-0.112451508, 1761337968.2857013, 
-0.321837683, 0.18080240917795895,-0.096718282, 1761337968.3780198, 
-0.308375938, 0.15720982176900195,-0.091950285, 1761337968.4756136, 
-0.291965733, 0.14218166258220727,-0.096674274, 1761337968.5876846, 
-0.28004373, 0.13400102274842562,-0.092499369, 1761337968.6857476, 
-0.273432896,0.096520525,-0.080556314, 1761337968.7782507, 
-0.267589423,0.062006715,-0.083628478, 1761337968.8894546, 
-0.262430439,0.052528962,-0.084141798, 1761337968.9877012, 
-0.257499361,0.051379173,-0.077327233, 1761337969.0858366, 
-0.252757133,0.046634228,-0.080501072, 1761337969.1960678, 
-0.250339834,0.034459131,-0.077418102, 1761337969.2894084, 
-0.246394329,0.032965907,-0.071911462, 1761337969.3879619, 
-0.242690722, 0.038967325874397746,-0.072564456, 1761337969.4856813, 
-0.237760254,0.045587284,-0.069147847, 1761337969.5782304, 
-0.233062376,0.050712002,-0.067825455, 1761337969.675798, 
-0.230381858,0.035961649,-0.07373881, 1761337969.7885506, 
-0.229148643, 0.018217955240825263,-0.07277213, 1761337969.8859422, 
-0.229136113,0.006388084,-0.071473688, 1761337969.996122, 
-0.229697417,-0.002958504,-0.069917426, 1761337970.0891957, 
-0.234793721,-0.028819376,-0.066527216, 1761337970.187946, 
-0.242810038,-0.066803778,-0.069496141, 1761337970.2857065, 
-0.256021062,-0.112497103,-0.069748919, 1761337970.378095, 
-0.274751606,-0.156215331,-0.078493372, 1761337970.4886413, 
-0.298890471,-0.206589213,-0.08694071, 1761337970.5876753, 
-0.325820341,-0.259222965,-0.088627096, 1761337970.685708, 
-0.364393555,-0.312615245,-0.102904436, 1761337970.7957513, 
-0.405294782,-0.393902296,-0.111511586, 1761337970.8892875, 
-0.453097123,-0.461564385,-0.117341502, 1761337970.9876764, 
-0.509748507,-0.531218731,-0.134516896, 1761337971.0859294, 
-0.589010334,-0.646571378,-0.162066523, 1761337971.1965444, 
-0.657419145,-0.785679702,-0.167402097, 1761337971.2765732, 
-0.773822461,-0.939380782,-0.195669943, 1761337971.3902528, 
-0.873065905,-1.031886911,-0.240941913, 1761337971.4856963, 
-0.951970056,-1.113188473,-0.27544071,1761337971.58372,
-1.057130248,-1.216260531,-0.311865676,1761337971.69492,
-1.145205133,-1.290781104,-0.345424051,1761337971.78826,
