x, y, theta, stamp, 
0.21300338208675385, -0.4089727997779846, -1.80250423823245, 1761337831.6420236, 
0.2061234712600708, -0.43574926257133484, -1.8641353990921103, 1761337831.732947, 
0.19615206122398376, -0.4649568796157837, -1.9285951881655685, 1761337831.8325565, 
0.18567946553230286, -0.4907665252685547, -1.984222680270182, 1761337831.9217725, 
0.1703341156244278, -0.5238178968429565, -2.0532836521437483, 1761337832.0419679, 
0.1570105403661728, -0.5482283234596252, -2.1020079382982138, 1761337832.131949, 
0.14084677398204803, -0.5747686624526978, -2.152259598619458, 1761337832.2323277, 
0.12168635427951813, -0.6026431918144226, -2.201574559369928, 1761337832.342439, 
0.1033773124217987, -0.6272299885749817, -2.2413688951128408, 1761337832.4419992, 
0.08624988049268723, -0.6484982371330261, -2.2757414405683676, 1761337832.532958, 
0.06594662368297577, -0.6717432141304016, -2.3114044106595366, 1761337832.6319902, 
0.047084178775548935, -0.6917693614959717, -2.342719740803734, 1761337832.722167, 
0.02087240107357502, -0.717866837978363, -2.381129178232114, 1761337832.8420103, 
0.000547328032553196, -0.73681640625, -2.409160577802442, 1761337832.932989, 
-0.02235320769250393, -0.7569474577903748, -2.4419486884150428, 1761337833.0319924, 
-0.0437205471098423, -0.7745519280433655, -2.472447466954278, 1761337833.1221745, 
-0.07307631522417068, -0.7970374822616577, -2.5115692022509664, 1761337833.242063, 
-0.09546670317649841, -0.8131526708602905, -2.539502255260375, 1761337833.3329563, 
-0.12114033848047256, -0.8301036953926086, -2.570391098566502, 1761337833.4319935, 
-0.14448441565036774, -0.8447991609573364, -2.5984799208229394, 1761337833.5224144, 
-0.17649026215076447, -0.8632486462593079, -2.6349993338802142, 1761337833.6419668, 
-0.20081713795661926, -0.876552939414978, -2.6616559219295546, 1761337833.7329564, 
-0.22837120294570923, -0.8903602957725525, -2.6869225353441526, 1761337833.8320444, 
-0.2588057219982147, -0.9046627879142761, -2.711867806136494, 1761337833.9422145, 
-0.2868689298629761, -0.9170798659324646, -2.733212263197659, 1761337834.042008, 
-0.31230154633522034, -0.9276689291000366, -2.7520210152773483, 1761337834.1339645, 
-0.3410220146179199, -0.9389317035675049, -2.771119339139501, 1761337834.2319984, 
-0.3651077151298523, -0.9479570388793945, -2.788112109404314, 1761337834.3222737, 
-0.3934449255466461, -0.9579575657844543, -2.807515154189366, 1761337834.442008, 
-0.4120972454547882, -0.9643577337265015, -2.8245442167175523, 1761337834.5330062, 
-0.4306091368198395, -0.9702088832855225, -2.8386712551083493, 1761337834.6320043, 
-0.4452311098575592, -0.974790096282959, -2.8549070580337785, 1761337834.722058, 
-0.4624006748199463, -0.9797528386116028, -2.8761891863479585, 1761337834.8420234, 
-0.47231152653694153, -0.9825136065483093, -2.8958947314766346, 1761337834.932964, 
-0.48265713453292847, -0.98496013879776, -2.914602719392343, 1761337835.0320292, 
